fill	x	y	xmin	xmax	ymin	ymax
#171717	-1.5	0	-1.625	-1.375	-2.5	2.5
#4F4F4F	-1.5	5	-1.625	-1.375	2.5	7.5
#525252	-1	5	-1.125	-0.875	2.5	7.5
#0A0A0A	-0.75	0	-0.875	-0.625	-2.5	2.5
#010101	0	0	-0.125	0.125	-2.5	2.5
#585858	-2.5	5	-2.625	-2.375	2.5	7.5
#020202	-0.25	0	-0.375	-0.125	-2.5	2.5
#161616	-1.25	0	-1.375	-1.125	-2.5	2.5
#060606	-0.5	0	-0.625	-0.375	-2.5	2.5
#111111	1	0	0.875	1.125	-2.5	2.5
#171717	1.75	0	1.625	1.875	-2.5	2.5
#000000	0.5	0	0.375	0.625	-2.5	2.5
#1F1F1F	-1.75	0	-1.875	-1.625	-2.5	2.5
#404040	2	5	1.875	2.125	2.5	7.5
#0B0B0B	0.75	0	0.625	0.875	-2.5	2.5
#202020	-2	0	-2.125	-1.875	-2.5	2.5
#030303	0.25	0	0.125	0.375	-2.5	2.5
#292929	-2.5	0	-2.625	-2.375	-2.5	2.5
#333333	-3	0	-3.125	-2.875	-2.5	2.5
#111111	1.25	0	1.125	1.375	-2.5	2.5
#121212	-1	0	-1.125	-0.875	-2.5	2.5
#414141	3.75	0	3.625	3.875	-2.5	2.5
#3F3F3F	-3.5	0	-3.625	-3.375	-2.5	2.5
#383838	2.75	0	2.625	2.875	-2.5	2.5
#2A2A2A	-2.25	0	-2.375	-2.125	-2.5	2.5
#3D3D3D	-3.25	0	-3.375	-3.125	-2.5	2.5
#323232	3	0	2.875	3.125	-2.5	2.5
#262626	2.5	0	2.375	2.625	-2.5	2.5
#3C3C3C	3.5	0	3.375	3.625	-2.5	2.5
#464646	4	0	3.875	4.125	-2.5	2.5
#202020	2	0	1.875	2.125	-2.5	2.5
#4B4B4B	4.5	5	4.375	4.625	2.5	7.5
#909090	-2	10	-2.125	-1.875	7.5	12.5
#1A1A1A	1.5	0	1.375	1.625	-2.5	2.5
#292929	2.25	0	2.125	2.375	-2.5	2.5
#D2D2D2	-1.75	35	-1.875	-1.625	32.5	37.5
#747474	-1	15	-1.125	-0.875	12.5	17.5
#616161	-0.75	10	-0.875	-0.625	7.5	12.5
#4F4F4F	-0.75	5	-0.875	-0.625	2.5	7.5
#999999	-1.5	20	-1.625	-1.375	17.5	22.5
#CFCFCF	-2.25	25	-2.375	-2.125	22.5	27.5
#BBBBBB	-2.25	15	-2.375	-2.125	12.5	17.5
#535353	-2	5	-2.125	-1.875	2.5	7.5
#525252	-1.75	5	-1.875	-1.625	2.5	7.5
#4F4F4F	-1.25	5	-1.375	-1.125	2.5	7.5
#5C5C5C	-2.75	5	-2.875	-2.625	2.5	7.5
#414141	1.5	5	1.375	1.625	2.5	7.5
#3A3A3A	-2.75	0	-2.875	-2.625	-2.5	2.5
#414141	-4.25	0	-4.375	-4.125	-2.5	2.5
#5D5D5D	-5	5	-5.125	-4.875	2.5	7.5
#484848	-4	0	-4.125	-3.875	-2.5	2.5
#393939	-3.75	0	-3.875	-3.625	-2.5	2.5
#3F3F3F	2.25	5	2.125	2.375	2.5	7.5
#404040	2.5	5	2.375	2.625	2.5	7.5
#404040	1.75	5	1.625	1.875	2.5	7.5
#3E3E3E	2.75	5	2.625	2.875	2.5	7.5
