x	y	clickSelects	xmin	xmax	ymin	ymax
-1.5	0	logFC=-1.5 -log10(p)=0	-1.625	-1.375	-2.5	2.5
-1.5	5	logFC=-1.5 -log10(p)=5	-1.625	-1.375	2.5	7.5
-1	5	logFC=-1 -log10(p)=5	-1.125	-0.875	2.5	7.5
-0.75	0	logFC=-0.75 -log10(p)=0	-0.875	-0.625	-2.5	2.5
0	0	logFC=0 -log10(p)=0	-0.125	0.125	-2.5	2.5
-2.5	5	logFC=-2.5 -log10(p)=5	-2.625	-2.375	2.5	7.5
-0.25	0	logFC=-0.25 -log10(p)=0	-0.375	-0.125	-2.5	2.5
-1.25	0	logFC=-1.25 -log10(p)=0	-1.375	-1.125	-2.5	2.5
-0.5	0	logFC=-0.5 -log10(p)=0	-0.625	-0.375	-2.5	2.5
1	0	logFC=1 -log10(p)=0	0.875	1.125	-2.5	2.5
1.75	0	logFC=1.75 -log10(p)=0	1.625	1.875	-2.5	2.5
0.5	0	logFC=0.5 -log10(p)=0	0.375	0.625	-2.5	2.5
-1.75	0	logFC=-1.75 -log10(p)=0	-1.875	-1.625	-2.5	2.5
2	5	logFC=2 -log10(p)=5	1.875	2.125	2.5	7.5
0.75	0	logFC=0.75 -log10(p)=0	0.625	0.875	-2.5	2.5
-2	0	logFC=-2 -log10(p)=0	-2.125	-1.875	-2.5	2.5
0.25	0	logFC=0.25 -log10(p)=0	0.125	0.375	-2.5	2.5
-2.5	0	logFC=-2.5 -log10(p)=0	-2.625	-2.375	-2.5	2.5
-3	0	logFC=-3 -log10(p)=0	-3.125	-2.875	-2.5	2.5
1.25	0	logFC=1.25 -log10(p)=0	1.125	1.375	-2.5	2.5
-1	0	logFC=-1 -log10(p)=0	-1.125	-0.875	-2.5	2.5
3.75	0	logFC=3.75 -log10(p)=0	3.625	3.875	-2.5	2.5
-3.5	0	logFC=-3.5 -log10(p)=0	-3.625	-3.375	-2.5	2.5
2.75	0	logFC=2.75 -log10(p)=0	2.625	2.875	-2.5	2.5
-2.25	0	logFC=-2.25 -log10(p)=0	-2.375	-2.125	-2.5	2.5
-3.25	0	logFC=-3.25 -log10(p)=0	-3.375	-3.125	-2.5	2.5
3	0	logFC=3 -log10(p)=0	2.875	3.125	-2.5	2.5
2.5	0	logFC=2.5 -log10(p)=0	2.375	2.625	-2.5	2.5
3.5	0	logFC=3.5 -log10(p)=0	3.375	3.625	-2.5	2.5
4	0	logFC=4 -log10(p)=0	3.875	4.125	-2.5	2.5
2	0	logFC=2 -log10(p)=0	1.875	2.125	-2.5	2.5
4.5	5	logFC=4.5 -log10(p)=5	4.375	4.625	2.5	7.5
-2	10	logFC=-2 -log10(p)=10	-2.125	-1.875	7.5	12.5
1.5	0	logFC=1.5 -log10(p)=0	1.375	1.625	-2.5	2.5
2.25	0	logFC=2.25 -log10(p)=0	2.125	2.375	-2.5	2.5
-1.75	35	logFC=-1.75 -log10(p)=35	-1.875	-1.625	32.5	37.5
-1	15	logFC=-1 -log10(p)=15	-1.125	-0.875	12.5	17.5
-0.75	10	logFC=-0.75 -log10(p)=10	-0.875	-0.625	7.5	12.5
-0.75	5	logFC=-0.75 -log10(p)=5	-0.875	-0.625	2.5	7.5
-1.5	20	logFC=-1.5 -log10(p)=20	-1.625	-1.375	17.5	22.5
-2.25	25	logFC=-2.25 -log10(p)=25	-2.375	-2.125	22.5	27.5
-2.25	15	logFC=-2.25 -log10(p)=15	-2.375	-2.125	12.5	17.5
-2	5	logFC=-2 -log10(p)=5	-2.125	-1.875	2.5	7.5
-1.75	5	logFC=-1.75 -log10(p)=5	-1.875	-1.625	2.5	7.5
-1.25	5	logFC=-1.25 -log10(p)=5	-1.375	-1.125	2.5	7.5
-2.75	5	logFC=-2.75 -log10(p)=5	-2.875	-2.625	2.5	7.5
1.5	5	logFC=1.5 -log10(p)=5	1.375	1.625	2.5	7.5
-2.75	0	logFC=-2.75 -log10(p)=0	-2.875	-2.625	-2.5	2.5
-4.25	0	logFC=-4.25 -log10(p)=0	-4.375	-4.125	-2.5	2.5
-5	5	logFC=-5 -log10(p)=5	-5.125	-4.875	2.5	7.5
-4	0	logFC=-4 -log10(p)=0	-4.125	-3.875	-2.5	2.5
-3.75	0	logFC=-3.75 -log10(p)=0	-3.875	-3.625	-2.5	2.5
2.25	5	logFC=2.25 -log10(p)=5	2.125	2.375	2.5	7.5
2.5	5	logFC=2.5 -log10(p)=5	2.375	2.625	2.5	7.5
1.75	5	logFC=1.75 -log10(p)=5	1.625	1.875	2.5	7.5
2.75	5	logFC=2.75 -log10(p)=5	2.625	2.875	2.5	7.5
3.25	5	logFC=3.25 -log10(p)=5	3.125	3.375	2.5	7.5
3.5	5	logFC=3.5 -log10(p)=5	3.375	3.625	2.5	7.5
4.25	5	logFC=4.25 -log10(p)=5	4.125	4.375	2.5	7.5
4.75	5	logFC=4.75 -log10(p)=5	4.625	4.875	2.5	7.5
5.25	5	logFC=5.25 -log10(p)=5	5.125	5.375	2.5	7.5
5.75	5	logFC=5.75 -log10(p)=5	5.625	5.875	2.5	7.5
5	5	logFC=5 -log10(p)=5	4.875	5.125	2.5	7.5
3.25	0	logFC=3.25 -log10(p)=0	3.125	3.375	-2.5	2.5
6.75	10	logFC=6.75 -log10(p)=10	6.625	6.875	7.5	12.5
4	5	logFC=4 -log10(p)=5	3.875	4.125	2.5	7.5
3.75	5	logFC=3.75 -log10(p)=5	3.625	3.875	2.5	7.5
-1.25	30	logFC=-1.25 -log10(p)=30	-1.375	-1.125	27.5	32.5
-2	35	logFC=-2 -log10(p)=35	-2.125	-1.875	32.5	37.5
-1.75	15	logFC=-1.75 -log10(p)=15	-1.875	-1.625	12.5	17.5
-1.75	10	logFC=-1.75 -log10(p)=10	-1.875	-1.625	7.5	12.5
-2	15	logFC=-2 -log10(p)=15	-2.125	-1.875	12.5	17.5
-1.5	10	logFC=-1.5 -log10(p)=10	-1.625	-1.375	7.5	12.5
-2.25	10	logFC=-2.25 -log10(p)=10	-2.375	-2.125	7.5	12.5
-5.25	5	logFC=-5.25 -log10(p)=5	-5.375	-5.125	2.5	7.5
-3.5	5	logFC=-3.5 -log10(p)=5	-3.625	-3.375	2.5	7.5
-4.5	5	logFC=-4.5 -log10(p)=5	-4.625	-4.375	2.5	7.5
-3.25	5	logFC=-3.25 -log10(p)=5	-3.375	-3.125	2.5	7.5
-4.75	5	logFC=-4.75 -log10(p)=5	-4.875	-4.625	2.5	7.5
1.25	5	logFC=1.25 -log10(p)=5	1.125	1.375	2.5	7.5
2.25	10	logFC=2.25 -log10(p)=10	2.125	2.375	7.5	12.5
-4.5	0	logFC=-4.5 -log10(p)=0	-4.625	-4.375	-2.5	2.5
3.5	10	logFC=3.5 -log10(p)=10	3.375	3.625	7.5	12.5
3	10	logFC=3 -log10(p)=10	2.875	3.125	7.5	12.5
-4.25	5	logFC=-4.25 -log10(p)=5	-4.375	-4.125	2.5	7.5
6.25	10	logFC=6.25 -log10(p)=10	6.125	6.375	7.5	12.5
6	10	logFC=6 -log10(p)=10	5.875	6.125	7.5	12.5
4	10	logFC=4 -log10(p)=10	3.875	4.125	7.5	12.5
6	5	logFC=6 -log10(p)=5	5.875	6.125	2.5	7.5
5	10	logFC=5 -log10(p)=10	4.875	5.125	7.5	12.5
4.5	10	logFC=4.5 -log10(p)=10	4.375	4.625	7.5	12.5
5.25	10	logFC=5.25 -log10(p)=10	5.125	5.375	7.5	12.5
5.5	5	logFC=5.5 -log10(p)=5	5.375	5.625	2.5	7.5
4.75	10	logFC=4.75 -log10(p)=10	4.625	4.875	7.5	12.5
5.25	15	logFC=5.25 -log10(p)=15	5.125	5.375	12.5	17.5
-1	30	logFC=-1 -log10(p)=30	-1.125	-0.875	27.5	32.5
-0.75	15	logFC=-0.75 -log10(p)=15	-0.875	-0.625	12.5	17.5
-1	20	logFC=-1 -log10(p)=20	-1.125	-0.875	17.5	22.5
-2	40	logFC=-2 -log10(p)=40	-2.125	-1.875	37.5	42.5
-2.5	40	logFC=-2.5 -log10(p)=40	-2.625	-2.375	37.5	42.5
-2	25	logFC=-2 -log10(p)=25	-2.125	-1.875	22.5	27.5
-1.75	20	logFC=-1.75 -log10(p)=20	-1.875	-1.625	17.5	22.5
-1.25	10	logFC=-1.25 -log10(p)=10	-1.375	-1.125	7.5	12.5
-2.25	5	logFC=-2.25 -log10(p)=5	-2.375	-2.125	2.5	7.5
-5.5	5	logFC=-5.5 -log10(p)=5	-5.625	-5.375	2.5	7.5
2.5	10	logFC=2.5 -log10(p)=10	2.375	2.625	7.5	12.5
1	5	logFC=1 -log10(p)=5	0.875	1.125	2.5	7.5
2.75	10	logFC=2.75 -log10(p)=10	2.625	2.875	7.5	12.5
3	5	logFC=3 -log10(p)=5	2.875	3.125	2.5	7.5
5.75	15	logFC=5.75 -log10(p)=15	5.625	5.875	12.5	17.5
6.75	15	logFC=6.75 -log10(p)=15	6.625	6.875	12.5	17.5
6.5	10	logFC=6.5 -log10(p)=10	6.375	6.625	7.5	12.5
7	15	logFC=7 -log10(p)=15	6.875	7.125	12.5	17.5
3.75	10	logFC=3.75 -log10(p)=10	3.625	3.875	7.5	12.5
-1	25	logFC=-1 -log10(p)=25	-1.125	-0.875	22.5	27.5
-1.25	15	logFC=-1.25 -log10(p)=15	-1.375	-1.125	12.5	17.5
-1.5	15	logFC=-1.5 -log10(p)=15	-1.625	-1.375	12.5	17.5
-2	20	logFC=-2 -log10(p)=20	-2.125	-1.875	17.5	22.5
-2.25	20	logFC=-2.25 -log10(p)=20	-2.375	-2.125	17.5	22.5
-1	10	logFC=-1 -log10(p)=10	-1.125	-0.875	7.5	12.5
-3	5	logFC=-3 -log10(p)=5	-3.125	-2.875	2.5	7.5
2	10	logFC=2 -log10(p)=10	1.875	2.125	7.5	12.5
3.25	10	logFC=3.25 -log10(p)=10	3.125	3.375	7.5	12.5
4.25	10	logFC=4.25 -log10(p)=10	4.125	4.375	7.5	12.5
5.5	15	logFC=5.5 -log10(p)=15	5.375	5.625	12.5	17.5
-1.5	25	logFC=-1.5 -log10(p)=25	-1.625	-1.375	22.5	27.5
-1.25	20	logFC=-1.25 -log10(p)=20	-1.375	-1.125	17.5	22.5
0.75	5	logFC=0.75 -log10(p)=5	0.625	0.875	2.5	7.5
5	15	logFC=5 -log10(p)=15	4.875	5.125	12.5	17.5
5.5	10	logFC=5.5 -log10(p)=10	5.375	5.625	7.5	12.5
5.25	20	logFC=5.25 -log10(p)=20	5.125	5.375	17.5	22.5
4.5	15	logFC=4.5 -log10(p)=15	4.375	4.625	12.5	17.5
-1.25	35	logFC=-1.25 -log10(p)=35	-1.375	-1.125	32.5	37.5
-0.25	5	logFC=-0.25 -log10(p)=5	-0.375	-0.125	2.5	7.5
-0.5	5	logFC=-0.5 -log10(p)=5	-0.625	-0.375	2.5	7.5
1.5	10	logFC=1.5 -log10(p)=10	1.375	1.625	7.5	12.5
2.25	15	logFC=2.25 -log10(p)=15	2.125	2.375	12.5	17.5
2.25	20	logFC=2.25 -log10(p)=20	2.125	2.375	17.5	22.5
7.25	15	logFC=7.25 -log10(p)=15	7.125	7.375	12.5	17.5
-0.5	10	logFC=-0.5 -log10(p)=10	-0.625	-0.375	7.5	12.5
1.25	10	logFC=1.25 -log10(p)=10	1.125	1.375	7.5	12.5
1.75	10	logFC=1.75 -log10(p)=10	1.625	1.875	7.5	12.5
1.75	15	logFC=1.75 -log10(p)=15	1.625	1.875	12.5	17.5
2	15	logFC=2 -log10(p)=15	1.875	2.125	12.5	17.5
2	20	logFC=2 -log10(p)=20	1.875	2.125	17.5	22.5
1.5	15	logFC=1.5 -log10(p)=15	1.375	1.625	12.5	17.5
2	25	logFC=2 -log10(p)=25	1.875	2.125	22.5	27.5
-1	35	logFC=-1 -log10(p)=35	-1.125	-0.875	32.5	37.5
0.5	5	logFC=0.5 -log10(p)=5	0.375	0.625	2.5	7.5
1.75	20	logFC=1.75 -log10(p)=20	1.625	1.875	17.5	22.5
-4	5	logFC=-4 -log10(p)=5	-4.125	-3.875	2.5	7.5
-0.75	20	logFC=-0.75 -log10(p)=20	-0.875	-0.625	17.5	22.5
-1.75	25	logFC=-1.75 -log10(p)=25	-1.875	-1.625	22.5	27.5
-1.5	30	logFC=-1.5 -log10(p)=30	-1.625	-1.375	27.5	32.5
-1.75	30	logFC=-1.75 -log10(p)=30	-1.875	-1.625	27.5	32.5
-3.75	5	logFC=-3.75 -log10(p)=5	-3.875	-3.625	2.5	7.5
1	10	logFC=1 -log10(p)=10	0.875	1.125	7.5	12.5
0.75	10	logFC=0.75 -log10(p)=10	0.625	0.875	7.5	12.5
1.25	15	logFC=1.25 -log10(p)=15	1.125	1.375	12.5	17.5
0.25	5	logFC=0.25 -log10(p)=5	0.125	0.375	2.5	7.5
-0.75	25	logFC=-0.75 -log10(p)=25	-0.875	-0.625	22.5	27.5
-5.75	5	logFC=-5.75 -log10(p)=5	-5.875	-5.625	2.5	7.5
2.5	20	logFC=2.5 -log10(p)=20	2.375	2.625	17.5	22.5
4.75	15	logFC=4.75 -log10(p)=15	4.625	4.875	12.5	17.5
-1.25	25	logFC=-1.25 -log10(p)=25	-1.375	-1.125	22.5	27.5
