group	fill	clickSelects
1	#FFFFFF	150
2	#FFFFFF	858
3	#FFFFFF	858
4	#FFFFFF	689
5	#FFFFFF	150
6	#FFFFFF	150
7	#FFFFFF	150
8	#FFFFFF	150
9	#FFFFFF	150
10	#FFFFFF	150
11	#FFFFFF	150
12	#FFFFFF	150
13	#FFFFFF	150
14	#FFFFFF	150
15	#FFFFFF	150
16	#FFFFFF	689
17	#FFFFFF	689
18	#FFFFFF	150
19	#FFFFFF	150
20	#FFFFFF	150
21	#FFFFFF	150
22	#FFFFFF	150
23	#FFFFFF	150
24	#FFFFFF	150
25	#FFFFFF	150
26	#FFFFFF	150
27	#FFFFFF	150
28	#FFFFFF	150
29	#FFFFFF	150
30	#FFFFFF	150
31	#FFFFFF	150
32	#FFFFFF	150
33	#FFFFFF	150
34	#FFFFFF	150
35	#FFFFFF	150
36	#FFFFFF	150
37	#FFFFFF	150
38	#FFFFFF	150
39	#FFFFFF	150
40	#FFFFFF	150
41	#FFFFFF	150
42	#FFFFFF	150
43	#FFFFFF	150
44	#FFFFFF	150
45	#FFFFFF	150
46	#FFFFFF	150
47	#FFFFFF	150
48	#FFFFFF	150
49	#FFFFFF	150
50	#FFFFFF	150
51	#FFFFFF	150
52	#FFFFFF	150
53	#FFFFFF	150
54	#FFFFFF	689
55	#FFFFFF	689
56	#FFFFFF	150
57	#FFFFFF	150
58	#FFFFFF	150
59	#FFFFFF	150
60	#FFFFFF	150
61	#FFFFFF	150
62	#FFFFFF	689
63	#FFFFFF	689
64	#FFFFFF	150
65	#FFFFFF	689
66	#FFFFFF	689
67	#FFFFFF	689
68	#FFFFFF	150
69	#FFFFFF	150
70	#FFFFFF	150
71	#FFFFFF	150
72	#FFFFFF	150
73	#FFFFFF	150
74	#FFFFFF	150
75	#FFFFFF	150
76	#FFFFFF	150
77	#FFFFFF	150
78	#FFFFFF	150
79	#FFFFFF	150
80	#FFFFFF	150
81	#FFFFFF	150
82	#FFFFFF	150
83	#FFFFFF	150
84	#FFFFFF	150
85	#FFFFFF	150
86	#FFFFFF	150
87	#FFFFFF	150
88	#FFFFFF	150
89	#FFFFFF	150
90	#FFFFFF	150
91	#FFFFFF	150
92	#FFFFFF	150
93	#FFFFFF	150
94	#FFFFFF	150
95	#FFFFFF	150
96	#FFFFFF	150
97	#FFFFFF	150
98	#FFFFFF	150
99	#FFFFFF	150
100	#FFFFFF	150
101	#FFFFFF	150
102	#FFFFFF	150
103	#FFFFFF	150
104	#FFFFFF	150
105	#FFFFFF	689
106	#FFFFFF	150
107	#FFFFFF	150
108	#FFFFFF	150
109	#FFFFFF	150
110	#FFFFFF	150
111	#FFFFFF	150
112	#FFFFFF	150
113	#FFFFFF	689
114	#FFFFFF	689
115	#FFFFFF	150
116	#FFFFFF	689
117	#FFFFFF	689
118	#FFFFFF	689
119	#FFFFFF	150
120	#FFFFFF	150
121	#FFFFFF	150
122	#FFFFFF	150
123	#FFFFFF	150
124	#FFFFFF	150
125	#FFFFFF	150
126	#FFFFFF	150
127	#FFFFFF	150
128	#FFFFFF	150
129	#FFFFFF	150
130	#FFFFFF	150
131	#FFFFFF	150
132	#FFFFFF	150
133	#FFFFFF	150
134	#FFFFFF	150
135	#FFFFFF	150
136	#FFFFFF	150
137	#FFFFFF	150
138	#FFFFFF	150
139	#FFFFFF	150
140	#FFFFFF	150
141	#FFFFFF	150
142	#FFFFFF	150
143	#FFFFFF	150
144	#FFFFFF	150
145	#FFFFFF	150
146	#FFFFFF	150
147	#FFFFFF	150
148	#FFFFFF	150
149	#FFFFFF	150
150	#FFFFFF	150
151	#FFFFFF	150
152	#FFFFFF	689
153	#FFFFFF	689
154	#FFFFFF	689
155	#FFFFFF	150
156	#FFFFFF	150
157	#FFFFFF	689
158	#FFFFFF	150
159	#FFFFFF	150
160	#FFFFFF	689
161	#FFFFFF	689
162	#FFFFFF	689
163	#FFFFFF	689
164	#FFFFFF	150
165	#FFFFFF	689
166	#FFFFFF	150
167	#FFFFFF	150
168	#FFFFFF	150
169	#FFFFFF	150
170	#FFFFFF	802
171	#FFFFFF	150
172	#FFFFFF	802
173	#FFFFFF	802
174	#FFFFFF	802
175	#FFFFFF	802
176	#FFFFFF	689
177	#FFFFFF	802
178	#FFFFFF	150
179	#FFFFFF	802
180	#FFFFFF	150
181	#FFFFFF	150
182	#FFFFFF	150
183	#FFFFFF	150
184	#FFFFFF	150
185	#FFFFFF	150
186	#FFFFFF	434
187	#FFFFFF	689
188	#FFFFFF	434
189	#FFFFFF	434
190	#FFFFFF	150
191	#FFFFFF	150
192	#FFFFFF	150
193	#FFFFFF	150
194	#FFFFFF	150
195	#FFFFFF	150
196	#FFFFFF	150
197	#FFFFFF	150
198	#FFFFFF	689
199	#FFFFFF	689
200	#FFFFFF	689
201	#FFFFFF	689
202	#FFFFFF	150
203	#FFFFFF	689
204	#FFFFFF	689
205	#FFFFFF	689
206	#FFFFFF	150
207	#FFFFFF	150
208	#FFFFFF	689
209	#FFFFFF	150
210	#FFFFFF	150
211	#FFFFFF	689
212	#FFFFFF	689
213	#FFFFFF	689
214	#FFFFFF	150
215	#FFFFFF	150
216	#FFFFFF	689
217	#FFFFFF	150
218	#FFFFFF	150
219	#FFFFFF	150
220	#FFFFFF	150
